 it num_thr  ply        time       nps  eval           nodes  move 
  0       1    1   6.103e-05    327707    36              20  g1f3 
  0       1    2   5.436e-05   1214128     0              66  g1f3 
  0       1    3   9.334e-05   5838868    35             545  g1f3 
  0       1    4   0.0003551   5868769     0            2084  g1f3 
  0       1    5  0.00104335  13285091    33           13861  g1f3 
  0       1    6  0.00784808  10202367     0           80069  g1f3 
  0       1    7    0.034425  15694836    28          540295  g1f3 
  0       1    8     1.26201  15993164     7        20183466  e2e4 
  0       1    9     1.80207  17776094    36        32033739  e2e4 
  0       1   10     30.4693  17473319     6       532399757  e2e4 
  0       2    1    0.000123    162601    36              20  g1f3 
  0       2    2   7.521e-05    877542     0              66  g1f3 
  0       2    3   9.929e-05   5488971    35             545  g1f3 
  0       2    4  0.00033041   7775188     0            2569  g1f3 
  0       2    5 0.000902781  19620483    33           17713  g1f3 
  0       2    6  0.00548746  19440138     0          106677  g1f3 
  0       2    7    0.024444  28386429    28          693878  g1f3 
  0       2    8    0.816109  31470803     7        25683604  e2e4 
  0       2    9     1.77441  34638452    36        61462881  e2e4 
  0       2   10     23.5324  35822269     6       842982491  e2e4 
  0       3    1  0.00033173    141681    36              47  g1f3 
  0       3    2   9.077e-05    727112     0              66  g1f3 
  0       3    3  0.00010989   8699608    35             956  g1f3 
  0       3    4  0.00027119   8156642     0            2212  g1f3 
  0       3    5  0.00070137  25950639    33           18201  g1f3 
  0       3    6  0.00342337  26285502     0           89985  g1f3 
  0       3    7   0.0181154  42055961    28          761859  g1f3 
  0       3    8    0.541746  46318101     7        25092640  e2e4 
  0       3    9     1.04076  50259029    36        52307374  e2e4 
  0       3   10     13.6602  52805999     6       721339259  e2e4 
  0       4    1  0.00014985    260260    36              39  g1f3 
  0       4    2    8.79e-05    807736     0              71  g1f3 
  0       4    3 0.000101601   9921162    35            1008  g1f3 
  0       4    4  0.00033392  14272879     0            4766  g1f3 
  0       4    5   0.0005285  37911069    33           20036  g1f3 
  0       4    6  0.00281213  33593397     0           94469  g1f3 
  0       4    7   0.0152283  55935024    28          851796  g1f3 
  0       4    8    0.401771  60810015     7        24431689  e2e4 
  0       4    9    0.942189  67139061    36        63257701  e2e4 
  0       4   10      15.698  69901688     6      1097315561  e2e4 
  0       5    1  0.00018896    105842    36              20  g1f3 
  0       5    2  0.00010357    637250     0              66  g1f3 
  0       5    3   0.0001205  10406639    35            1254  g1f3 
  0       5    4  0.00025291  14163141     0            3582  g1f3 
  0       5    5  0.00065323  37377340    33           24416  g1f3 
