 it num_thr  ply        time       nps  eval           nodes  move 
  0       1    1  0.00013274    135603   183              18  b4f4 
  0       1    2  0.00031214    410072   125             128  b4f4 
  0       1    3   7.085e-05   3500352   192             248  b4f4 
  0       1    4  0.00025336   3733817   132             946  b4f4 
  0       1    5  0.00043583   9900649   139            4315  b4f4 
  0       1    6  0.00207201   7353246   117           15236  b4f4 
  0       1    7  0.00676642  13033925   108           88193  b4f4 
  0       1    8   0.0739609  11145312    86          824317  b4f4 
  0       1    9     0.12672  12771494    95         1618403  b4f4 
  0       1   10    0.647856  10478929    73         6788840  b4f4 
  0       1   11     1.06709  12886075    94        13750548  b4f4 
  0       1   12     13.9936  10860217    68       151973895  b4f4 
  0       2    1  0.00010062    178890   183              18  b4f4 
  0       2    2  0.00034806    367752   125             128  b4f4 
  0       2    3   6.352e-05   5982367   192             380  b4f4 
  0       2    4  0.00014429   6473075   132             934  b4f4 
  0       2    5  0.00028961  15434549   139            4470  b4f4 
  0       2    6  0.00129586  13472895   117           17459  b4f4 
  0       2    7   0.0043422  23137349   108          100467  b4f4 
  0       2    8   0.0507603  20636230    86         1047502  b4f4 
  0       2    9   0.0554631  23968585    95         1329372  b4f4 
  0       2   10    0.278725  18976699    73         5289273  b4f4 
  0       2   11    0.617875  23944327    94        14794598  b4f4 
  0       2   12     3.85177  18741868    68        72189442  b4f4 
  0       3    1  0.00047614     37804   183              18  b4f4 
  0       3    2   9.537e-05   2076124   125             198  b4f4 
  0       3    3   6.086e-05   7032533   192             428  b4f4 
  0       3    4  0.00013389   7468817   132            1000  b4f4 
  0       3    5  0.00026882  21508816   139            5782  b4f4 
  0       3    6  0.00091916  19188171   117           17637  b4f4 
  0       3    7  0.00234777  35339066   108           82968  b4f4 
  0       3    8   0.0234954  29619651    86          695927  b4f4 
  0       3    9   0.0377594  35941924    95         1357144  b4f4 
  0       3   10    0.227117  27217472    73         6181561  b4f4 
  0       3   11    0.364526  35887617    94        13081968  b4f4 
  0       3   12     4.82819  29979274    68       144745507  b4f4 
  0       4    1  0.00010979    163949   183              18  b4f4 
  0       4    2   8.086e-05   1595349   125             129  b4f4 
  0       4    3   8.144e-05   3045186   192             248  b4f4 
  0       4    4  0.00013554   8691161   132            1178  b4f4 
  0       4    5  0.00023755  25741949   139            6115  b4f4 
  0       4    6  0.00073145  23268849   117           17020  b4f4 
  0       4    7    0.002375  45885071   108          108977  b4f4 
  0       4    8   0.0261841  41803153    86         1094580  b4f4 
  0       4    9   0.0373177  46095715    95         1720186  b4f4 
  0       4   10    0.147812  37123719    73         5487345  b4f4 
  0       4   11    0.240624  46617189    94        11217215  b4f4 
  0       4   12     1.78488  36603378    68        65332645  b4f4 
  0       5    1  0.00019633     91682   183              18  b4f4 
  0       5    2  0.00017357   1451863   125             252  b4f4 
  0       5    3   8.259e-05   7034749   192             581  b4f4 
  0       5    4  0.00013362   8793593   132            1175  b4f4 
  0       5    5  0.00022401  31703941   139            7102  b4f4 
  0       5    6  0.00063502  25471638   117           16175  b4f4 
  0       5    7  0.00214612  57056481   108          122450  b4f4 
  0       5    8   0.0242249  50552922    86         1224640  b4f4 
  0       5    9    0.043694  58202600    95         2543106  b4f4 
  0       5   10    0.145363  47351396    73         6883145  b4f4 
  0       5   11    0.238367  57447661    94        13693641  b4f4 
